pairid	genesymbol	drugid	guidelineid	usedforrecommendation	version	cpiclevel	pgkbcalevel	pgxtesting	citations	removed	removeddate	removedreason
5401528	ADRA2C	RxNorm:149	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401525	ADRB2	RxNorm:8332	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401532	ADRA2C	RxNorm:20352	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401509	ADRB1	RxNorm:149	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401547	GRK4	RxNorm:6185	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401548	GRK4	RxNorm:6918	5290480	f	19	C	\N	\N	{38951961}	f	\N	\N
5401549	GRK4	RxNorm:7226	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110281	CYP2D6	RxNorm:31555	5290480	f	79	C	\N	\N	{38951961}	f	\N	\N
5401531	ADRA2C	RxNorm:19484	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401557	GRK5	RxNorm:19484	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401529	ADRA2C	RxNorm:1202	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401539	ADRA2C	RxNorm:8787	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110553	PROC	RxNorm:11289	\N	f	77	D	\N	Actionable PGx	\N	f	\N	\N
5401530	ADRA2C	RxNorm:1520	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401563	GRK5	RxNorm:31555	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401552	GRK4	RxNorm:8787	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401553	GRK4	RxNorm:9947	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110244	CYP2D6	RxNorm:20352	5290480	f	98	C	\N	\N	{38951961}	f	\N	\N
5401523	ADRB2	RxNorm:6185	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401517	ADRB1	RxNorm:7226	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401538	ADRA2C	RxNorm:8332	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401565	GRK5	RxNorm:8787	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401566	GRK5	RxNorm:9947	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401533	ADRA2C	RxNorm:49737	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110238	GRK5	RxNorm:1202	5290480	f	78	C	\N	\N	{38951961}	f	\N	\N
5401556	GRK5	RxNorm:1520	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401544	GRK4	RxNorm:19484	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110245	GRK5	RxNorm:20352	5290480	f	96	C	\N	\N	{38951961}	f	\N	\N
5401554	GRK5	RxNorm:149	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401560	GRK5	RxNorm:6185	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110277	GRK5	RxNorm:6918	5290480	f	78	C	\N	\N	{38951961}	f	\N	\N
5401562	GRK5	RxNorm:7226	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401550	GRK4	RxNorm:31555	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401551	GRK4	RxNorm:8332	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110289	CYP2D6	RxNorm:8787	5290480	f	80	C	\N	\N	{38951961}	f	\N	\N
5401527	ADRB2	RxNorm:9947	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401522	ADRB2	RxNorm:20352	5290480	f	19	C	\N	\N	{38951961}	f	\N	\N
5401504	CYP2D6	RxNorm:1520	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401512	ADRB1	RxNorm:19484	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110243	ADRB1	RxNorm:20352	5290480	f	99	C	\N	\N	{38951961}	f	\N	\N
5401503	CYP2D6	RxNorm:149	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110237	ADRB1	RxNorm:1202	5290480	f	80	C	\N	\N	{38951961}	f	\N	\N
110275	ADRB1	RxNorm:6918	5290480	f	79	C	\N	\N	{38951961}	f	\N	\N
5401524	ADRB2	RxNorm:7226	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401518	ADRB1	RxNorm:31555	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401519	ADRB1	RxNorm:8332	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401520	ADRB1	RxNorm:8787	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401540	ADRA2C	RxNorm:9947	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110554	PROS1	RxNorm:11289	\N	f	77	D	\N	Actionable PGx	\N	f	\N	\N
5401514	ADRB1	RxNorm:49737	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401543	GRK4	RxNorm:1520	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401505	CYP2D6	RxNorm:19484	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401545	GRK4	RxNorm:20352	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401541	GRK4	RxNorm:149	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401542	GRK4	RxNorm:1202	5290480	f	19	C	\N	\N	{38951961}	f	\N	\N
5401559	GRK5	RxNorm:49737	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401534	ADRA2C	RxNorm:6185	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401511	ADRB1	RxNorm:1520	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401526	ADRB2	RxNorm:8787	5290480	f	19	C	\N	\N	{38951961}	f	\N	\N
5401521	ADRB1	RxNorm:9947	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401546	GRK4	RxNorm:49737	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401515	ADRB1	RxNorm:6185	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401535	ADRA2C	RxNorm:6918	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401536	ADRA2C	RxNorm:7226	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
5401537	ADRA2C	RxNorm:31555	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
110288	CYP2D6	RxNorm:8754	\N	f	91	B/C	1A	Informative PGx	\N	f	\N	\N
