id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7585975	113537	Latino	Peruvian in Lima (PEL)	\N	\N	170	1
7585976	113537	Latino	Puerto Rican (PUR)	\N	\N	208	1
7585977	113537	Sub-Saharan African	Gambian in Western Division (GWD)	\N	\N	226	1
7585978	113537	Sub-Saharan African	Luhya in Webuye (LWK)	\N	\N	198	1
7585979	113537	Sub-Saharan African	Esan (ESN)	\N	\N	198	1
7585980	113537	Sub-Saharan African	Yoruba in Ibadan (YRI)	\N	\N	216	1
7585981	113537	Sub-Saharan African	Mende (MSL)	\N	\N	170	1
7585982	\N	African American/Afro-Caribbean	African/African American	\N	\N	18923	1
7585983	\N	African American/Afro-Caribbean	African/African American	\N	\N	19097	1
7585984	\N	African American/Afro-Caribbean	African/African American	\N	\N	12997	1
7585985	\N	African American/Afro-Caribbean	African/African American	\N	\N	18968	1
7585986	\N	African American/Afro-Caribbean	African/African American	\N	\N	13156	1
7585987	\N	African American/Afro-Caribbean	African/African American	\N	\N	30659	1
7585988	\N	African American/Afro-Caribbean	African/African American	\N	\N	18886	1
7585989	\N	African American/Afro-Caribbean	African/African American	\N	\N	13092	1
7585990	\N	African American/Afro-Caribbean	African/African American	\N	\N	19035	1
7585991	\N	African American/Afro-Caribbean	African/African American	\N	\N	13154	1
7585992	\N	African American/Afro-Caribbean	African/African American	\N	\N	13017	1
7585993	\N	African American/Afro-Caribbean	African/African American	\N	\N	13158	1
7585994	\N	African American/Afro-Caribbean	African/African American	\N	\N	18963	1
7585995	\N	African American/Afro-Caribbean	African/African American	\N	\N	18977	1
7585996	\N	African American/Afro-Caribbean	African/African American	\N	\N	13156	1
7585997	\N	African American/Afro-Caribbean	African/African American	\N	\N	18975	1
7585998	\N	African American/Afro-Caribbean	African/African American	\N	\N	18866	1
7585999	\N	African American/Afro-Caribbean	African/African American	\N	\N	19063	1
7586000	\N	African American/Afro-Caribbean	African/African American	\N	\N	13111	1
7586001	\N	African American/Afro-Caribbean	African/African American	\N	\N	13854	1
7586002	\N	African American/Afro-Caribbean	African/African American	\N	\N	18973	1
7586003	\N	African American/Afro-Caribbean	African/African American	\N	\N	18967	1
7586004	\N	African American/Afro-Caribbean	African/African American	\N	\N	13157	1
7586005	\N	African American/Afro-Caribbean	African/African American	\N	\N	13150	1
7586006	\N	African American/Afro-Caribbean	African/African American	\N	\N	5327	1
7586007	\N	African American/Afro-Caribbean	African/African American	\N	\N	13153	1
7586008	\N	African American/Afro-Caribbean	African/African American	\N	\N	19038	1
7586009	\N	African American/Afro-Caribbean	African/African American	\N	\N	13150	1
7586010	\N	African American/Afro-Caribbean	African/African American	\N	\N	13147	1
7586011	\N	African American/Afro-Caribbean	African/African American	\N	\N	13155	1
7586012	\N	African American/Afro-Caribbean	African/African American	\N	\N	19043	1
7586013	\N	African American/Afro-Caribbean	African/African American	\N	\N	13065	1
7586014	\N	African American/Afro-Caribbean	African/African American	\N	\N	13155	1
7586015	\N	African American/Afro-Caribbean	African/African American	\N	\N	13154	1
7586016	\N	African American/Afro-Caribbean	African/African American	\N	\N	19037	1
7586017	\N	African American/Afro-Caribbean	African/African American	\N	\N	19140	1
7586018	\N	African American/Afro-Caribbean	African/African American	\N	\N	27408	1
7586019	\N	African American/Afro-Caribbean	African/African American	\N	\N	18982	1
7586020	\N	African American/Afro-Caribbean	African/African American	\N	\N	13113	1
7586021	\N	African American/Afro-Caribbean	African/African American	\N	\N	18987	1
7586022	\N	African American/Afro-Caribbean	African/African American	\N	\N	19005	1
7586023	\N	African American/Afro-Caribbean	African/African American	\N	\N	18914	1
7586024	\N	African American/Afro-Caribbean	African/African American	\N	\N	13154	1
7586025	\N	African American/Afro-Caribbean	African/African American	\N	\N	13114	1
7586026	\N	Central/South Asian	South Asian	\N	\N	19079	1
7586027	\N	Central/South Asian	South Asian	\N	\N	19075	1
7586028	\N	Central/South Asian	South Asian	\N	\N	19044	1
7586029	\N	Central/South Asian	South Asian	\N	\N	19076	1
7586030	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586031	\N	Central/South Asian	South Asian	\N	\N	2649	1
7586032	\N	Central/South Asian	South Asian	\N	\N	18933	1
7586033	\N	Central/South Asian	South Asian	\N	\N	19065	1
7586034	\N	Central/South Asian	South Asian	\N	\N	19075	1
7586035	\N	Central/South Asian	South Asian	\N	\N	19078	1
7586036	\N	Central/South Asian	South Asian	\N	\N	18933	1
7586037	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586038	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586039	\N	Central/South Asian	South Asian	\N	\N	19079	1
7586040	\N	Central/South Asian	South Asian	\N	\N	19078	1
7586041	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586042	\N	Central/South Asian	South Asian	\N	\N	18953	1
7586043	\N	Central/South Asian	South Asian	\N	\N	19073	1
7586044	\N	Central/South Asian	South Asian	\N	\N	19043	1
7586045	\N	Central/South Asian	South Asian	\N	\N	19077	1
7586046	\N	Central/South Asian	South Asian	\N	\N	19077	1
7586047	\N	Central/South Asian	South Asian	\N	\N	19078	1
7586048	\N	Central/South Asian	South Asian	\N	\N	19076	1
7586049	\N	Central/South Asian	South Asian	\N	\N	19077	1
7586050	\N	Central/South Asian	South Asian	\N	\N	19077	1
7586051	\N	Central/South Asian	South Asian	\N	\N	19067	1
7586052	\N	Central/South Asian	South Asian	\N	\N	18963	1
7586053	\N	Central/South Asian	South Asian	\N	\N	19073	1
7586054	\N	Central/South Asian	South Asian	\N	\N	19074	1
7586055	\N	Central/South Asian	South Asian	\N	\N	19074	1
7586056	\N	Central/South Asian	South Asian	\N	\N	19079	1
7586057	\N	Central/South Asian	South Asian	\N	\N	18999	1
7586058	\N	Central/South Asian	South Asian	\N	\N	19076	1
7586059	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586060	\N	Central/South Asian	South Asian	\N	\N	19079	1
7586061	\N	Central/South Asian	South Asian	\N	\N	19076	1
7586062	\N	Central/South Asian	South Asian	\N	\N	19078	1
7586063	\N	Central/South Asian	South Asian	\N	\N	19031	1
7586064	\N	Central/South Asian	South Asian	\N	\N	19062	1
7586065	\N	Central/South Asian	South Asian	\N	\N	19075	1
7586066	\N	Central/South Asian	South Asian	\N	\N	19050	1
7586067	\N	Central/South Asian	South Asian	\N	\N	19043	1
7586068	\N	Central/South Asian	South Asian	\N	\N	19080	1
7586069	\N	Central/South Asian	South Asian	\N	\N	19073	1
7586070	\N	East Asian	East Asian	\N	\N	14844	1
7586071	\N	East Asian	East Asian	\N	\N	14851	1
7586072	\N	East Asian	East Asian	\N	\N	13825	1
7586073	\N	East Asian	East Asian	\N	\N	14839	1
7586074	\N	East Asian	East Asian	\N	\N	13861	1
7586075	\N	East Asian	East Asian	\N	\N	3559	1
7586076	\N	East Asian	East Asian	\N	\N	14796	1
7586077	\N	East Asian	East Asian	\N	\N	13851	1
7586078	\N	East Asian	East Asian	\N	\N	14847	1
7586079	\N	East Asian	East Asian	\N	\N	13861	1
7586080	\N	East Asian	East Asian	\N	\N	13802	1
7586081	\N	East Asian	East Asian	\N	\N	13861	1
7586082	\N	East Asian	East Asian	\N	\N	14827	1
7586083	\N	East Asian	East Asian	\N	\N	14838	1
7586084	\N	East Asian	East Asian	\N	\N	13861	1
7586085	\N	East Asian	East Asian	\N	\N	14383	1
7586086	\N	East Asian	East Asian	\N	\N	14782	1
7586087	\N	East Asian	East Asian	\N	\N	14855	1
7586088	\N	East Asian	East Asian	\N	\N	13844	1
7586089	\N	East Asian	East Asian	\N	\N	13854	1
7586090	\N	East Asian	East Asian	\N	\N	14824	1
7586091	\N	East Asian	East Asian	\N	\N	14822	1
7586092	\N	East Asian	East Asian	\N	\N	13857	1
7586093	\N	East Asian	East Asian	\N	\N	13859	1
7586094	\N	East Asian	East Asian	\N	\N	14838	1
7586095	\N	East Asian	East Asian	\N	\N	13858	1
7586096	\N	East Asian	East Asian	\N	\N	14758	1
7586097	\N	East Asian	East Asian	\N	\N	13860	1
7586098	\N	East Asian	East Asian	\N	\N	13861	1
7586099	\N	East Asian	East Asian	\N	\N	13860	1
7586100	\N	East Asian	East Asian	\N	\N	14841	1
7586101	\N	East Asian	East Asian	\N	\N	13828	1
7586102	\N	East Asian	East Asian	\N	\N	13860	1
7586103	\N	East Asian	East Asian	\N	\N	13859	1
7586105	\N	East Asian	East Asian	\N	\N	14861	1
7586106	\N	East Asian	East Asian	\N	\N	13859	1
7586107	\N	East Asian	East Asian	\N	\N	14815	1
7586108	\N	East Asian	East Asian	\N	\N	13851	1
7586109	\N	East Asian	East Asian	\N	\N	14833	1
7586110	\N	East Asian	East Asian	\N	\N	14834	1
7586111	\N	East Asian	East Asian	\N	\N	14804	1
7586112	\N	East Asian	East Asian	\N	\N	13859	1
7586113	\N	East Asian	East Asian	\N	\N	13844	1
7586114	\N	European	Finnish	\N	\N	18634	1
7586115	\N	European	non-Finnish	\N	\N	92560	1
7586116	\N	European	Finnish	\N	\N	18633	1
7586117	\N	European	non-Finnish	\N	\N	92365	1
7586118	\N	European	Finnish	\N	\N	15949	1
7586119	\N	European	non-Finnish	\N	\N	80881	1
7586120	\N	European	Finnish	\N	\N	18616	1
7586121	\N	European	non-Finnish	\N	\N	92499	1
7586122	\N	European	Finnish	\N	\N	15988	1
7586123	\N	European	non-Finnish	\N	\N	81834	1
7586124	\N	European	Finnish	\N	\N	6161	1
7586125	\N	European	non-Finnish	\N	\N	52914	1
7586126	\N	European	Finnish	\N	\N	18509	1
7586127	\N	European	non-Finnish	\N	\N	91636	1
7586128	\N	European	Finnish	\N	\N	15966	1
7586129	\N	European	non-Finnish	\N	\N	81140	1
7586130	\N	European	Finnish	\N	\N	18631	1
7586131	\N	European	non-Finnish	\N	\N	92236	1
7586132	\N	European	Finnish	\N	\N	15936	1
7586133	\N	European	non-Finnish	\N	\N	81811	1
7586134	\N	European	Finnish	\N	\N	15880	1
7586135	\N	European	non-Finnish	\N	\N	81023	1
7586136	\N	European	Finnish	\N	\N	15948	1
7586137	\N	European	non-Finnish	\N	\N	81840	1
7586138	\N	European	Finnish	\N	\N	18175	1
7586139	\N	European	non-Finnish	\N	\N	92559	1
7586140	\N	European	Finnish	\N	\N	18602	1
7586141	\N	European	non-Finnish	\N	\N	92240	1
7586142	\N	European	Finnish	\N	\N	15935	1
7586143	\N	European	non-Finnish	\N	\N	81583	1
7586144	\N	European	Finnish	\N	\N	18606	1
7586145	\N	European	non-Finnish	\N	\N	92342	1
7586146	\N	European	Finnish	\N	\N	18551	1
7586147	\N	European	non-Finnish	\N	\N	91742	1
7586148	\N	European	Finnish	\N	\N	18645	1
7586149	\N	European	non-Finnish	\N	\N	92469	1
7586150	\N	European	Finnish	\N	\N	15945	1
7586151	\N	European	non-Finnish	\N	\N	81575	1
7586152	\N	European	Finnish	\N	\N	15279	1
7586153	\N	European	non-Finnish	\N	\N	81081	1
7586154	\N	European	Finnish	\N	\N	18511	1
7586155	\N	European	non-Finnish	\N	\N	92220	1
7586156	\N	European	Finnish	\N	\N	18546	1
7586157	\N	European	non-Finnish	\N	\N	92279	1
7586158	\N	European	Finnish	\N	\N	15967	1
7586159	\N	European	non-Finnish	\N	\N	81708	1
7586160	\N	European	Finnish	\N	\N	15843	1
7586161	\N	European	non-Finnish	\N	\N	81661	1
7586162	\N	European	Finnish	\N	\N	18625	1
7586163	\N	European	non-Finnish	\N	\N	92015	1
7586164	\N	European	Finnish	\N	\N	16000	1
7586165	\N	European	non-Finnish	\N	\N	81639	1
7586166	\N	European	Finnish	\N	\N	18564	1
7586167	\N	European	non-Finnish	\N	\N	91777	1
7586168	\N	European	Finnish	\N	\N	15979	1
7586169	\N	European	non-Finnish	\N	\N	81810	1
7586170	\N	European	Finnish	\N	\N	15979	1
7586171	\N	European	non-Finnish	\N	\N	81810	1
7586172	\N	European	Finnish	\N	\N	15982	1
7586173	\N	European	non-Finnish	\N	\N	81840	1
7586174	\N	European	Finnish	\N	\N	15760	1
7586175	\N	European	non-Finnish	\N	\N	81579	1
7586176	\N	European	Finnish	\N	\N	18596	1
7586177	\N	European	non-Finnish	\N	\N	92526	1
7586178	\N	European	Finnish	\N	\N	15930	1
7586179	\N	European	non-Finnish	\N	\N	81335	1
7586180	\N	European	Finnish	\N	\N	15980	1
7586181	\N	European	non-Finnish	\N	\N	81808	1
7586182	\N	European	Finnish	\N	\N	16006	1
7586183	\N	European	non-Finnish	\N	\N	81841	1
7586184	\N	European	Finnish	\N	\N	18607	1
7586185	\N	European	non-Finnish	\N	\N	92425	1
7586186	\N	European	Finnish	\N	\N	18640	1
7586187	\N	European	non-Finnish	\N	\N	92538	1
7586188	\N	European	Finnish	\N	\N	15954	1
7586189	\N	European	non-Finnish	\N	\N	81672	1
7586190	\N	European	Finnish	\N	\N	18522	1
7586191	\N	European	non-Finnish	\N	\N	92058	1
7586192	\N	European	Finnish	\N	\N	15987	1
7586193	\N	European	non-Finnish	\N	\N	81150	1
7586194	\N	European	Finnish	\N	\N	17996	1
7586195	\N	European	non-Finnish	\N	\N	91676	1
7586196	\N	European	Finnish	\N	\N	18575	1
7586197	\N	European	non-Finnish	\N	\N	92310	1
7586198	\N	European	Finnish	\N	\N	18591	1
7586199	\N	European	non-Finnish	\N	\N	91611	1
7586200	\N	European	Finnish	\N	\N	16006	1
7586201	\N	European	non-Finnish	\N	\N	81841	1
7586202	\N	European	Finnish	\N	\N	15994	1
7586203	\N	European	non-Finnish	\N	\N	81428	1
7586204	\N	Latino	Latino/Admixed American	\N	\N	28037	1
7586205	\N	Latino	Latino/Admixed American	\N	\N	28038	1
7586206	\N	Latino	Latino/Admixed American	\N	\N	27381	1
7586207	\N	Latino	Latino/Admixed American	\N	\N	28041	1
7586208	\N	Latino	Latino/Admixed American	\N	\N	27423	1
7586209	\N	Latino	Latino/Admixed American	\N	\N	10583	1
7586210	\N	Latino	Latino/Admixed American	\N	\N	27974	1
7586211	\N	Latino	Latino/Admixed American	\N	\N	27396	1
7586212	\N	Latino	Latino/Admixed American	\N	\N	28036	1
7586213	\N	Latino	Latino/Admixed American	\N	\N	27412	1
7586214	\N	Latino	Latino/Admixed American	\N	\N	27346	1
7586215	\N	Latino	Latino/Admixed American	\N	\N	27411	1
7586216	\N	Latino	Latino/Admixed American	\N	\N	28043	1
7586217	\N	Latino	Latino/Admixed American	\N	\N	28054	1
7586218	\N	Latino	Latino/Admixed American	\N	\N	27415	1
7586219	\N	Latino	Latino/Admixed American	\N	\N	28049	1
7586220	\N	Latino	Latino/Admixed American	\N	\N	27994	1
7586221	\N	Latino	Latino/Admixed American	\N	\N	28038	1
7586222	\N	Latino	Latino/Admixed American	\N	\N	27400	1
7586223	\N	Latino	Latino/Admixed American	\N	\N	27411	1
7586224	\N	Latino	Latino/Admixed American	\N	\N	28029	1
7586225	\N	Latino	Latino/Admixed American	\N	\N	28030	1
7586226	\N	Latino	Latino/Admixed American	\N	\N	27420	1
7586227	\N	Latino	Latino/Admixed American	\N	\N	27406	1
7586228	\N	Latino	Latino/Admixed American	\N	\N	28037	1
7586229	\N	Latino	Latino/Admixed American	\N	\N	27398	1
7586230	\N	Latino	Latino/Admixed American	\N	\N	27964	1
7586231	\N	Latino	Latino/Admixed American	\N	\N	27423	1
7586232	\N	Latino	Latino/Admixed American	\N	\N	27425	1
7586233	\N	Latino	Latino/Admixed American	\N	\N	27412	1
7586234	\N	Latino	Latino/Admixed American	\N	\N	28041	1
7586235	\N	Latino	Latino/Admixed American	\N	\N	27358	1
7586236	\N	Latino	Latino/Admixed American	\N	\N	27418	1
7586237	\N	Latino	Latino/Admixed American	\N	\N	27424	1
7586238	\N	Latino	Latino/Admixed American	\N	\N	28031	1
7586239	\N	Latino	Latino/Admixed American	\N	\N	28034	1
7586240	\N	Latino	Latino/Admixed American	\N	\N	27408	1
7586241	\N	Latino	Latino/Admixed American	\N	\N	27995	1
7586242	\N	Latino	Latino/Admixed American	\N	\N	27408	1
7586243	\N	Latino	Latino/Admixed American	\N	\N	28028	1
7586244	\N	Latino	Latino/Admixed American	\N	\N	28027	1
7586245	\N	Latino	Latino/Admixed American	\N	\N	27995	1
7586246	\N	Latino	Latino/Admixed American	\N	\N	27424	1
7586247	\N	Latino	Latino/Admixed American	\N	\N	27408	1
7586248	113528	African American/Afro-Caribbean	USA African American	\N	\N	252	1
7586249	113528	African American/Afro-Caribbean	USA African American Bethesda	\N	\N	187	1
7586250	113528	African American/Afro-Caribbean	USA African American pop 2	\N	\N	149	1
7586251	113528	African American/Afro-Caribbean	USA African American pop 3	\N	\N	564	1
7586252	113528	African American/Afro-Caribbean	USA African American pop 4	\N	\N	2411	1
7586253	113528	African American/Afro-Caribbean	USA African American pop 8	\N	\N	605	1
7586254	113528	African American/Afro-Caribbean	USA NMDP African American	\N	\N	416581	1
7586255	113528	African American/Afro-Caribbean	USA NMDP Caribbean Black	\N	\N	33328	1
7586256	113537	African American/Afro-Caribbean	Americans of African Ancestry in SW USA	ASW	\N	112	1
7586257	113539	African American/Afro-Caribbean	Costa Ricans of Afro-Caribbean descent	\N	\N	102	1
7586258	113528	American	Argentina Gran Chaco Eastern Toba	\N	\N	135	1
7586259	113528	American	Chile Mapuches	\N	\N	104	1
7586260	113528	American	Ecuador Cayapa	\N	\N	183	1
7586261	113528	American	Mexico Oaxaca Mixtec	\N	\N	103	1
7586262	113528	American	Peru Titikaka Lake Uro	\N	\N	105	1
7586263	113528	American	USA Alaska Yupik	\N	\N	252	1
7586264	113528	American	USA Arizona Gila River Amerindian	\N	\N	492	1
7586265	113528	American	USA Arizona Pima	\N	\N	100	1
7586266	113528	American	USA NMDP Alaska Native or Aleut	\N	\N	1376	1
7586267	113528	American	USA NMDP American Indian South or Central America	\N	\N	5926	1
7586268	113528	American	USA NMDP Caribbean Indian	\N	\N	14339	1
7586269	113528	American	USA NMDP North American Amerindian	\N	\N	35791	1
7586270	113528	American	USA North American Native	\N	\N	187	1
7586271	113528	American	USA South Dakota Lakota Sioux	\N	\N	302	1
7586272	113528	American	Guatemala Mayan	\N	\N	132	1
7586273	113556	American	Colombian Chimila	\N	\N	47	1
7586274	113539	American	Costa Rican Amerindians	\N	\N	123	1
7586275	113559	American	Colombian Wiwa	\N	\N	52	1
7586276	113561	Central/South Asian	Sri Lanka	\N	\N	93	1
7586277	113563	Central/South Asian	India	\N	5 patients with CBZ-SJS and 52 CBZ-tolerant controls	57	1
7586278	113528	Central/South Asian	India Andhra Pradesh Golla	\N	\N	111	1
7586279	113528	Central/South Asian	India Andhra Pradesh Telugu Speaking	\N	\N	186	1
7586280	113528	Central/South Asian	India Tamil Nadu	\N	\N	2492	1
7586281	113528	Central/South Asian	Pakistan Brahui	\N	\N	104	1
7586282	113528	Central/South Asian	Pakistan Mixed Pathan	\N	\N	100	1
7586283	113528	Central/South Asian	Pakistan Mixed Sindhi	\N	\N	101	1
7586284	113528	Central/South Asian	Sri Lanka Colombo	\N	\N	714	1
7586285	113528	Central/South Asian	Sri Lanka Colombo Sinhalese	\N	\N	101	1
7586286	113528	Central/South Asian	USA NMDP South Asian Indian	\N	\N	185391	1
7586287	113574	Central/South Asian	Indian	Tamil Nadu	Cord blood bank	2491	1
7586288	113576	East Asian	Koreans	\N	\N	1891	1
7586289	113578	East Asian	Thai	\N	\N	986	1
7586290	113580	East Asian	Koreans	\N	Bone marrow registry	10918	1
7586291	113582	East Asian	Chinese Han from Zhejiang province	\N	Bone marrow donors	8333	1
7586292	115400	East Asian	Japanese	\N	5824 families across Japan	18604	1
7586293	113584	East Asian	Han Chinese	\N	\N	98	1
7586294	113584	East Asian	Mongolian from Inner Mongolia	\N	\N	98	1
7586295	113584	East Asian	Mongolian from Yunnan Province	\N	\N	206	1
7586296	113584	East Asian	Hani	\N	\N	134	1
7586297	113584	East Asian	Dai	\N	\N	130	1
7586298	113584	East Asian	Yao	\N	\N	120	1
7586299	113584	East Asian	Wa	\N	\N	154	1
7586300	113528	East Asian	China Beijing Shijiazhuang Tianjian Han	\N	\N	618	1
7586301	113528	East Asian	China Canton Han	\N	\N	264	1
7586302	113528	East Asian	China Guangdong Province Meizhou Han	\N	\N	100	1
7586303	113528	East Asian	China Guangxi Region Maonan	\N	\N	108	1
7586304	113528	East Asian	China Guangzhou Han	\N	\N	106	1
7586305	113528	East Asian	China Guizhou Province Bouyei	\N	\N	109	1
7586306	113528	East Asian	China Guizhou Province Shui	\N	\N	153	1
7586307	113528	East Asian	China Jiangsu Han	\N	\N	3238	1
7586308	113528	East Asian	China Jiangsu Province Han	\N	\N	334	1
7586309	113528	East Asian	China North Han	\N	\N	105	1
7586310	113528	East Asian	China North Han pop 2	\N	\N	567	1
7586311	113528	East Asian	China Qinghai Province Hui	\N	\N	110	1
7586312	113528	East Asian	China South Han	\N	\N	284	1
7586313	113528	East Asian	China South Han pop 2	\N	\N	1098	1
7586314	113528	East Asian	China Southwest Dai	\N	\N	124	1
7586315	113528	East Asian	China Tibet Region Tibetan	\N	\N	158	1
7586316	113528	East Asian	China Yunnan Bulang	\N	\N	116	1
7586317	113528	East Asian	China Yunnan Hani	\N	\N	150	1
7586318	113528	East Asian	China Yunnan Province Han	\N	\N	101	1
7586319	113528	East Asian	China Yunnan Province Jinuo	\N	\N	109	1
7586320	113528	East Asian	China Yunnan Province Lisu	\N	\N	111	1
7586321	113528	East Asian	China Yunnan Province Nu	\N	\N	107	1
7586322	113528	East Asian	China Yunnan Province Wa	\N	\N	119	1
7587358	114927	East Asian	East Asian	\N	\N	9431	1
7586323	113528	East Asian	Germany DKMS - China minority	\N	\N	1282	1
7586324	113528	East Asian	Hong Kong Chinese	\N	\N	569	1
7586325	113528	East Asian	Hong Kong Chinese BMDR	\N	\N	7595	1
7586326	113528	East Asian	Hong Kong Chinese cord blood registry	\N	\N	3892	1
7586327	113528	East Asian	Indonesia Java Western	\N	\N	236	1
7586328	113528	East Asian	Indonesia Sundanese and Javanese	\N	\N	201	1
7586329	113528	East Asian	Japan Central	\N	\N	371	1
7586330	113528	East Asian	Japan Kyoto and Osaka	\N	\N	165	1
7586331	113528	East Asian	Japan pop 1	\N	\N	560	1
7586332	113528	East Asian	Japan pop 3	\N	\N	1018	1
7586333	113528	East Asian	Japan pop 5	\N	\N	117	1
7586334	113528	East Asian	Malaysia Peninsular Chinese	\N	\N	194	1
7586335	113528	East Asian	Russia Tuva pop 2	\N	\N	169	1
7586336	113528	East Asian	Singapore Chinese	\N	\N	149	1
7586337	113528	East Asian	Singapore Thai	\N	\N	100	1
7586338	113528	East Asian	South Korea pop 10	\N	\N	4128	1
7586339	113528	East Asian	South Korea pop 3	\N	\N	485	1
7586340	113528	East Asian	South Korea pop 8	\N	\N	7096	1
7586341	113528	East Asian	Taiwan Atayal	\N	\N	106	1
7586342	113528	East Asian	Taiwan Bunun	\N	\N	101	1
7586343	113528	East Asian	Taiwan Han Chinese	\N	\N	504	1
7586344	113528	East Asian	Taiwan Minnan pop 1	\N	\N	102	1
7586345	113528	East Asian	Taiwan pop 2	\N	\N	364	1
7586346	113528	East Asian	Taiwan pop 3	\N	\N	212	1
7586347	113528	East Asian	Taiwan Tzu Chi Cord Blood Bank	\N	\N	710	1
7586348	113528	East Asian	Thailand	\N	\N	142	1
7586349	113528	East Asian	Thailand Northeast pop 2	\N	\N	400	1
7586350	113528	East Asian	USA NMDP Chinese	\N	\N	99672	1
7586351	113528	East Asian	USA NMDP Filipino	\N	\N	50614	1
7586352	113528	East Asian	USA NMDP Japanese	\N	\N	24582	1
7586353	113528	East Asian	USA NMDP Korean	\N	\N	77584	1
7586354	113528	East Asian	USA NMDP Southeast Asian	\N	\N	27978	1
7586355	113528	East Asian	USA NMDP Vietnamese	\N	\N	43540	1
7586356	113528	East Asian	Vietnam Hanoi Kinh pop 2	\N	\N	170	1
7586357	113528	East Asian	Malaysia Peninsular Malay	\N	\N	951	1
7586358	113528	East Asian	Singapore Riau Malay	\N	\N	132	1
7586359	113537	East Asian	Han Chinese in Beijing, China	CHB	\N	108	1
7586360	113537	East Asian	Chinese Dai in Xishuangbanna, China	CHD	\N	109	1
7586361	113537	East Asian	Southern Han Chinese	CHS	\N	171	1
7586362	113537	East Asian	Japanese in Tokyo, Japan	JPT	\N	105	1
7586363	113656	East Asian	Han Chinese from Yunnan	\N	\N	239	1
7586364	113658	East Asian	Korean	\N	HSC donors	613	1
7586365	113660	East Asian	Burmese	\N	\N	170	1
7586366	113660	East Asian	Karen	\N	\N	200	1
7586367	113663	East Asian	Han Chinese from Liaoning	\N	Bone marrow donors	7823	1
7586368	113665	East Asian	Han Chinese from Nanning	\N	\N	562	1
7586369	113667	East Asian	Northeastern Thai	\N	\N	183	1
7586370	113669	East Asian	Thai	\N	\N	334	1
7586371	113528	European	Russians from Karelia	\N	\N	1075	1
7586372	113528	European	Russia North Ossetian	\N	\N	127	1
7586373	113671	European	Bulgarian	\N	\N	55	1
7586374	113673	European	Welsh	\N	Blood donors	254	1
7586375	113528	European	Australia New South Wales Caucasian	\N	\N	134	1
7586376	113528	European	Austria	\N	\N	200	1
7586377	113528	European	Croatia	\N	\N	150	1
7586378	113528	European	Croatia pop 4	\N	\N	4000	1
7586379	113528	European	Czech Republic	\N	\N	106	1
7586380	113528	European	Czech Republic NMDR	\N	\N	5099	1
7586381	113528	European	England North West	\N	\N	298	1
7586382	113528	European	France Corsica Island	\N	\N	100	1
7586383	113528	European	France Grenoble, Nantes and Rennes	\N	\N	6094	1
7586384	113528	European	France Southeast	\N	\N	130	1
7586385	113528	European	France West	\N	\N	100	1
7586386	113528	European	Germany DKMS - Austria minority	\N	\N	1698	1
7586387	113528	European	Germany DKMS - Bosnia and Herzegovina minority	\N	\N	1028	1
7586388	113528	European	Germany DKMS - Croatia minority	\N	\N	2057	1
7586389	113528	European	Germany DKMS - France minority	\N	\N	1406	1
7586390	113528	European	Germany DKMS - Greece minority	\N	\N	1894	1
7586391	113528	European	Germany DKMS - Italy minority	\N	\N	1159	1
7586392	113528	European	Germany DKMS - Netherlands minority	\N	\N	1374	1
7586393	113528	European	Germany DKMS - Portugal minority	\N	\N	1176	1
7586394	113528	European	Germany DKMS - Romania minority	\N	\N	1234	1
7586395	113528	European	Germany DKMS - Spain minority	\N	\N	1107	1
7586396	113528	European	Germany DKMS - United Kingdom minority	\N	\N	1043	1
7586397	113528	European	Germany Essen	\N	\N	174	1
7586398	113528	European	Germany pop 6	\N	\N	8862	1
7586399	113528	European	Germany pop 8	\N	\N	39689	1
7586400	113528	European	Greece pop 6	\N	\N	242	1
7586401	113528	European	Ireland Northern	\N	\N	1000	1
7586402	113528	European	Ireland South	\N	\N	250	1
7586403	113528	European	Italy Bergamo	\N	\N	101	1
7586404	113528	European	Italy North	\N	\N	277	1
7586405	113528	European	Italy pop 5	\N	\N	975	1
7586406	113528	European	Italy Sardinia pop3	\N	\N	100	1
7586407	113528	European	Italy South	\N	\N	141	1
7586408	113528	European	Italy South Campania Region	\N	\N	1089	1
7586409	113528	European	Madeira	\N	\N	185	1
7586410	113528	European	Macedonia pop 4	\N	\N	216	1
7586411	113528	European	Netherlands Leiden	\N	\N	1305	1
7586412	113528	European	Poland	\N	\N	200	1
7586413	113528	European	Poland DKMS	\N	\N	20653	1
7586414	113528	European	Portugal Azores Terceira Island	\N	\N	130	1
7586415	113528	European	Portugal Center pop 2	\N	\N	562	1
7586416	113528	European	Romania	\N	\N	348	1
7586417	113528	European	Serbia pop 2	\N	\N	102	1
7586418	113528	European	South Africa Caucasians	\N	\N	102	1
7586419	113528	European	Spain Gipzukoa Basque	\N	\N	100	1
7586420	113528	European	Spain Sevilla	\N	\N	278	1
7586421	113528	European	Sweden Northern Sami	\N	\N	154	1
7586422	113528	European	Sweden Southern Sami	\N	\N	130	1
